[ 2025-11-08 16:41:21,385 ] 20 root - INFO - Initiate the data ingestion
[ 2025-11-08 16:41:23,392 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-08 16:41:23,392 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-08 16:41:23,392 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-08 16:41:23,421 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-08 16:41:23,421 ] 22 root - INFO - Data Initiation Completed
[ 2025-11-08 16:41:23,424 ] 26 root - INFO - Initiate the data Validation
[ 2025-11-08 16:41:23,434 ] 32 root - INFO - Required number of columns:2
[ 2025-11-08 16:41:23,434 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-08 16:41:23,434 ] 32 root - INFO - Required number of columns:2
[ 2025-11-08 16:41:23,434 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-08 16:41:23,520 ] 28 root - INFO - data Validation Completed
[ 2025-11-08 16:41:23,520 ] 31 root - INFO - data Transformation started
[ 2025-11-08 16:41:23,520 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-08 16:41:23,520 ] 65 root - INFO - Starting data transformation
[ 2025-11-08 16:41:23,530 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-08 16:41:23,530 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-08 16:41:23,534 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-08 16:41:23,535 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-08 16:41:23,535 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-08 16:41:23,536 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-08 16:41:23,536 ] 35 root - INFO - data Transformation completed
[ 2025-11-08 16:41:23,536 ] 37 root - INFO - Model Training started
