[ 2025-11-08 16:42:49,138 ] 20 root - INFO - Initiate the data ingestion
[ 2025-11-08 16:42:51,222 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-08 16:42:51,222 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-08 16:42:51,222 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-08 16:42:51,252 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-08 16:42:51,252 ] 22 root - INFO - Data Initiation Completed
[ 2025-11-08 16:42:51,255 ] 26 root - INFO - Initiate the data Validation
[ 2025-11-08 16:42:51,264 ] 32 root - INFO - Required number of columns:2
[ 2025-11-08 16:42:51,264 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-08 16:42:51,264 ] 32 root - INFO - Required number of columns:2
[ 2025-11-08 16:42:51,264 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-08 16:42:51,340 ] 28 root - INFO - data Validation Completed
